name	dataset	caption	audio_path	duration	mel_path	struct_cap
Engine_revving_up_and_blowing_up.wav	audiocaps	Engine revving up and blowing up	audio_wav_train/Engine_revving_up_and_blowing_up.wav	10.0	audio_wav_train_mel/Engine_revving_up_and_blowing_up_mel.npy.npy	<engine revving up& start>@<engine blowing up& end>
Male_speaking_and_laughter_responses_from_an_audience.wav	audiocaps	Male speaking and laughter responses from an audience	audio_wav_train/Male_speaking_and_laughter_responses_from_an_audience.wav	10.0	audio_wav_train_mel/Male_speaking_and_laughter_responses_from_an_audience_mel.npy.npy	<male speaking& all>@<audience laughter& all>
Clicking_and_vibrations_with_mechanical_humming.wav	audiocaps	Clicking and vibrations with mechanical humming	audio_wav_train/Clicking_and_vibrations_with_mechanical_humming.wav	10.0	audio_wav_train_mel/Clicking_and_vibrations_with_mechanical_humming_mel.npy.npy	<clicking and vibrations& all>@<mechanical humming& all>
Water_splashing_and_buzzing_noises_with_a_person_talking.wav	audiocaps	Water splashing and buzzing noises with a person talking	audio_wav_train/Water_splashing_and_buzzing_noises_with_a_person_talking.wav	10.0	audio_wav_train_mel/Water_splashing_and_buzzing_noises_with_a_person_talking_mel.npy.npy	<water splashing& all>@<buzzing noises& all>@<person talking& all>
A_crowd_applauding_and_cheering.wav	audiocaps	A crowd applauding and cheering	audio_wav_train/A_crowd_applauding_and_cheering.wav	10.0	audio_wav_train_mel/A_crowd_applauding_and_cheering_mel.npy.npy	<crowd applauding and cheering& all>
People_talking_while_an_engine_is_revved.wav	audiocaps	People talking while an engine is revved	audio_wav_train/People_talking_while_an_engine_is_revved.wav	10.0	audio_wav_train_mel/People_talking_while_an_engine_is_revved_mel.npy.npy	<people talking& all>@<engine revved& mid>
A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.wav	audiocaps	A muffled bus engine running as a group of people talk in the background	audio_wav_train/A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.wav	10.0	audio_wav_train_mel/A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background_mel.npy.npy	<muffled bus engine running& all>@<group of people talk& all>
A_man_is_talking_and_spraying_something.wav	audiocaps	A man is talking and spraying something	audio_wav_train/A_man_is_talking_and_spraying_something.wav	10.0	audio_wav_train_mel/A_man_is_talking_and_spraying_something_mel.npy.npy	<man talking& all>@<spraying sound& all>
Multiple_claps_occur_then_a_man_speaks.wav	audiocaps	Multiple claps occur then a man speaks	audio_wav_train/Multiple_claps_occur_then_a_man_speaks.wav	10.0	audio_wav_train_mel/Multiple_claps_occur_then_a_man_speaks_mel.npy.npy	<multiple claps& start>@<man speaks& mid>
A_man_giving_a_speech_to_a_laughing_crowd.wav	audiocaps	A man giving a speech to a laughing crowd	audio_wav_train/A_man_giving_a_speech_to_a_laughing_crowd.wav	10.0	audio_wav_train_mel/A_man_giving_a_speech_to_a_laughing_crowd_mel.npy.npy	<man giving a speech& all>@<crowd laughing& all>
A_man_talking_as_a_plates_and_glass_clank.wav	audiocaps	A man talking as a plates and glass clank	audio_wav_train/A_man_talking_as_a_plates_and_glass_clank.wav	10.0	audio_wav_train_mel/A_man_talking_as_a_plates_and_glass_clank_mel.npy.npy	<man talking& all>@<plates and glass clank& all>
Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak.wav	audiocaps	Traffic hums in the distance a loud vibration followed by an explosion, two boys speak	audio_wav_train/Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak.wav	10.0	audio_wav_train_mel/Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak_mel.npy.npy	<traffic hums in the distance& all>@<loud vibration& start>@<explosion& mid>@<two boys speak& end>
Dogs_barking_and_squealing.wav	audiocaps	Dogs barking and squealing	audio_wav_train/Dogs_barking_and_squealing.wav	10.0	audio_wav_train_mel/Dogs_barking_and_squealing_mel.npy.npy	<dogs barking& all>@<dogs squealing& all>
Man_speaking_followed_by_dog_barking.wav	audiocaps	Man speaking followed by dog barking	audio_wav_train/Man_speaking_followed_by_dog_barking.wav	10.0	audio_wav_train_mel/Man_speaking_followed_by_dog_barking_mel.npy.npy	<man speaking& all>@<dog barking& end>
An_engine_is_idling_outside_and_a_man_speaks.wav	audiocaps	An engine is idling outside and a man speaks	audio_wav_train/An_engine_is_idling_outside_and_a_man_speaks.wav	10.0	audio_wav_train_mel/An_engine_is_idling_outside_and_a_man_speaks_mel.npy.npy	<engine idling outside& all>@<man speaks& all>
A_bird_chirps_in_a_hypnotic_manner.wav	audiocaps	A bird chirps in a hypnotic manner	audio_wav_train/A_bird_chirps_in_a_hypnotic_manner.wav	10.0	audio_wav_train_mel/A_bird_chirps_in_a_hypnotic_manner_mel.npy.npy	<bird chirps in a hypnotic manner& all>
A_person_snores.wav	audiocaps	A person snores	audio_wav_train/A_person_snores.wav	10.0	audio_wav_train_mel/A_person_snores_mel.npy.npy	<person snores& all>
A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail.wav	audiocaps	A distant train horn, followed by the clickety-clank of the train on the rail	audio_wav_train/A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail.wav	10.0	audio_wav_train_mel/A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail_mel.npy.npy	<distant train horn& start>@<clickety-clank of the train on the rail& all>
Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on.wav	audiocaps	Mechanical humming with some banging, a person speaks then a faucet is turned on	audio_wav_train/Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on.wav	10.0	audio_wav_train_mel/Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on_mel.npy.npy	<mechanical humming& all>@<banging& mid>@<person speaks& mid>@<faucet is turned on& end>
Engine_idling_noise.wav	audiocaps	Engine idling noise	audio_wav_train/Engine_idling_noise.wav	10.0	audio_wav_train_mel/Engine_idling_noise_mel.npy.npy	<engine idling noise& all>
Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently.wav	audiocaps	Heavy wind followed by a vehicle starting and revving intermittently	audio_wav_train/Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently.wav	10.0	audio_wav_train_mel/Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently_mel.npy.npy	<heavy wind& start>@<vehicle starting& mid>@<vehicle revving intermittently& end>
In_a_quiet_environment,_a_tune_is_whistled.wav	audiocaps	In a quiet environment, a tune is whistled	audio_wav_train/In_a_quiet_environment,_a_tune_is_whistled.wav	10.0	audio_wav_train_mel/In_a_quiet_environment,_a_tune_is_whistled_mel.npy.npy	<tune is whistled& all>
A_child_is_crying_and_speaking,_and_an_adult_female_is_speaking.wav	audiocaps	A child is crying and speaking, and an adult female is speaking	audio_wav_train/A_child_is_crying_and_speaking,_and_an_adult_female_is_speaking.wav	10.0	audio_wav_train_mel/A_child_is_crying_and_speaking,_and_an_adult_female_is_speaking_mel.npy.npy	<child crying and speaking& all>@<adult female speaking& all>
A_vehicle_engine_revving_and_accelerating_while_driving_by.wav	audiocaps	A vehicle engine revving and accelerating while driving by	audio_wav_train/A_vehicle_engine_revving_and_accelerating_while_driving_by.wav	10.0	audio_wav_train_mel/A_vehicle_engine_revving_and_accelerating_while_driving_by_mel.npy.npy	<vehicle engine revving and accelerating& all>
A_helicopters_blades_are_rotating_and_a_man_is_speaking_over_them.wav	audiocaps	A helicopters blades are rotating and a man is speaking over them	audio_wav_train/A_helicopters_blades_are_rotating_and_a_man_is_speaking_over_them.wav	10.0	audio_wav_train_mel/A_helicopters_blades_are_rotating_and_a_man_is_speaking_over_them_mel.npy.npy	<helicopter blades rotating& all>@<man speaking& all>
Young_children_are_chuckling,_laughing_and_talking.wav	audiocaps	Young children are chuckling, laughing and talking	audio_wav_train/Young_children_are_chuckling,_laughing_and_talking.wav	10.0	audio_wav_train_mel/Young_children_are_chuckling,_laughing_and_talking_mel.npy.npy	<children chuckling& all>@<children laughing& all>@<children talking& all>
Continuous_hissing_with_bells_and_a_horn_honking.wav	audiocaps	Continuous hissing with bells and a horn honking	audio_wav_train/Continuous_hissing_with_bells_and_a_horn_honking.wav	10.0	audio_wav_train_mel/Continuous_hissing_with_bells_and_a_horn_honking_mel.npy.npy	<continuous hissing& all>@<bells& all>@<horn honking& all>
Dog_whimper_and_howl_with_a_voice_of_a_man.wav	audiocaps	Dog whimper and howl with a voice of a man	audio_wav_train/Dog_whimper_and_howl_with_a_voice_of_a_man.wav	10.0	audio_wav_train_mel/Dog_whimper_and_howl_with_a_voice_of_a_man_mel.npy.npy	<dog whimpers and howls& all>@<voice of a man& all>
A_man_delivering_a_speech_before_a_large_bang_and_laughter.wav	audiocaps	A man delivering a speech before a large bang and laughter	audio_wav_train/A_man_delivering_a_speech_before_a_large_bang_and_laughter.wav	10.0	audio_wav_train_mel/A_man_delivering_a_speech_before_a_large_bang_and_laughter_mel.npy.npy	<man delivering a speech& all>@<large bang& mid>@<laughter& end>
Water_flowing,_wind_blowing,_a_dog_whimpers.wav	audiocaps	Water flowing, wind blowing, a dog whimpers	audio_wav_train/Water_flowing,_wind_blowing,_a_dog_whimpers.wav	10.0	audio_wav_train_mel/Water_flowing,_wind_blowing,_a_dog_whimpers_mel.npy.npy	<water flowing& all>@<wind blowing& all>@<dog whimpers& all>
The_wind_blows,_footsteps_shuffle_along_a_path_and_a_car_door_is_opened_and_closed_twice.wav	audiocaps	The wind blows, footsteps shuffle along a path and a car door is opened and closed twice	audio_wav_train/The_wind_blows,_footsteps_shuffle_along_a_path_and_a_car_door_is_opened_and_closed_twice.wav	10.0	audio_wav_train_mel/The_wind_blows,_footsteps_shuffle_along_a_path_and_a_car_door_is_opened_and_closed_twice_mel.npy.npy	<wind blows& all>@<footsteps shuffle along a path& mid>@<car door opens and closes twice& end>
A_man_speaks_as_cars_drive_in_the_background.wav	audiocaps	A man speaks as cars drive in the background	audio_wav_train/A_man_speaks_as_cars_drive_in_the_background.wav	10.0	audio_wav_train_mel/A_man_speaks_as_cars_drive_in_the_background_mel.npy.npy	<man speaks& all>@<cars drive& all>
Continuous_repetitive_ticking.wav	audiocaps	Continuous repetitive ticking	audio_wav_train/Continuous_repetitive_ticking.wav	10.0	audio_wav_train_mel/Continuous_repetitive_ticking_mel.npy.npy	<continuous repetitive ticking& all>
A_motorcycle_is_being_started_and_revved.wav	audiocaps	A motorcycle is being started and revved	audio_wav_train/A_motorcycle_is_being_started_and_revved.wav	10.0	audio_wav_train_mel/A_motorcycle_is_being_started_and_revved_mel.npy.npy	<motorcycle is being started& all>@<motorcycle is revved& all>
Wind_is_picking_up_at_a_fast_speed.wav	audiocaps	Wind is picking up at a fast speed	audio_wav_train/Wind_is_picking_up_at_a_fast_speed.wav	10.0	audio_wav_train_mel/Wind_is_picking_up_at_a_fast_speed_mel.npy.npy	<wind picking up at a fast speed& all>
