audiocap_id,youtube_id,start_time,caption
53013,Qh5Uv3J6n2g,350,'A beep sounds some times followed by an explosion and gun shots
52153,Q7gmzra_5_c,70,'A man speaking with machine saw in the background.
70845,c5DPrfjcnsw,30,'A person snoring almost wheezing continuously
89777,pzJj2QeVBEo,190,'A sewing machine is running and a dog is barking in background
82861,kqUlmndgTnU,60,'A vehicle revving up and then idling.
63216,XjtBzrBKllo,540,'An engine running and a man speaking
71472,c_6SdYOIr2o,40,'Kids speaking followed by horn and bell sounds from a train.
95131,u54tTCAoVJc,50,'Train running down the tracks with a long blow of horn
30451,Cb9RZtS3S_8,20,'Two men speak as a swarm of bees are nearby.
56761,TGuhQ0ExqEU,240,"'Water trickles, an animal screeches, a man yells and crunches on gravel"
44476,L8GBhH469wE,70,A a person belching several times
45865,M1mbE79I8pM,7,A accelerates and revs loudly then stops
4377,0jOGeH3Nlew,30,A adult man talking and a clock ringing
22945,8rSZ_1B-JRA,30,A aircraft engine is turned on
18054,6VpQHwFg2vo,30,A aircraft engine roars then an aircraft passes by
26804,AjtWZ_viEzw,30,A alarm is going off
16948,6-UwJ4gAjO8,30,A alarm sounding then a train running
72326,dApaQscXxG4,5,A alarm ticktocks and sounds
78146,hQ9_CbLG5AY,280,A ambulance blares in the distance followed by a woman and young child speaking and a car honking
13151,4KyT330sX6Y,0,A an engine is idling and wind blows
7994,2Cnv0FADwfo,30,A animal is gurgling in water. A dog is whimpering
8496,2PcEHVzOCdY,30,A animal is heard whimpering in a public place with a couple talking
84559,m71r_-mbnko,30,"A animal is making a squeaking noise, and a person whispers"
3485,0O2Ua-7Ti3Q,160,A animal walks on a hard surface someone whistles and the sheep bleats in reply
505,#NAME?,30,A babel of voices with a whining noise in the background
90627,qcqZflfGeOw,10,A baby and a woman laugh
76325,g725d_L71PI,30,A baby and a woman laughing
6592,1d8iPXgwhpw,10,A baby and a woman laughs
52659,QTVBZ6CJkDw,40,A baby and a woman laughs
36729,GC4U8nJCMSA,130,A baby and a woman shout
84129,ln_UfjGE5a8,40,A baby and a woman whisper
80927,jSDQGILborg,20,A baby and adult laughing
75794,fj4FsQD9Wk0,40,A baby and an adult laughing then a woman speaks
32868,DtyybbX2OQE,20,A baby and man laugh
90085,qCwg1AyGUcc,20,A baby and man laugh together
21228,80OxMasb1QA,70,A baby and man talking
51456,Pe-Hw7HCB5c,10,A baby and woman laugh
45789,Lzs_5R5_Rk0,8,A baby angrily cries
17461,6DLN8tVcGuE,30,A baby babbles and cries while adults speak
100474,yCH9gkpHmT8,40,A baby babbles and laughs and a man laughs
81619,jxTK9y1d0ng,70,A baby babbles as water splashes followed by laughter
87768,oVJFERh2gTo,30,A baby babbles followed by a woman speaking and a baby cries louder
101336,ytzMOmTuuZQ,150,A baby babbles while a girl and woman speak
3392,0LbQ5G7IMjo,30,"A baby babbles, then a dog's pants are followed by a smash into water and rush of wind"
23234,9-shWJ7KmLw,10,"A baby babbling, a woman responding, baby babbles again"
25299,A2tHKMEnRuw,30,A baby bird is making a bird call
24605,9hvgv3JwdII,10,A baby cackling and laughing
53062,QjK9AJQLP6k,30,A baby continuously cries as a woman and man talk
17457,6DAUg0daI1I,0,A baby continuously crying
22881,8pgzw_AQ2jo,30,A baby cooing after a person makes a noise
41900,JTsQfMBq2uc,40,A baby cooing and giggling
6567,1cNUKYCvU9s,20,A baby cooing and laughing
32267,D_VqIjo9m1E,0,A baby coos and laughs
56916,TOT5-kZW208,30,A baby coos frequently
68777,acIWLQ_SbN8,20,"A baby coos, a small child speaks"
14034,4i79R2ml0f0,30,"A baby coos, and someone screams"
15972,5YUPYXVn93A,30,"A baby coos, followed by a woman speaking in a high-pitched tone and a baby's laughter"
98620,wks_UrcDxak,170,A baby coughing and speaking with water splashing
95636,uTOrHGJQfqQ,30,A baby coughs and gasps for air over and over
18573,6kEKo-Evpfw,0,A baby cried and a man speaks
38541,HJoW1NNXgpg,20,A baby cried shortly followed by someone babbling
65036,Z-kasmR2QBM,0,A baby cries along with faint speech in the background followed by louder crying
34560,Er9uj_rsAfc,15,A baby cries and a child speaks
43176,KHogkaFMaSk,30,A baby cries and a dog barks
20890,7qELBricr4Q,2,A baby cries and a girl speaks
19356,76FDHAAf6ag,190,A baby cries and a man and woman speak
101221,yngtCM1lnec,30,A baby cries and a man speaks
75594,f_-WHgXTokA,30,A baby cries and a man speaks
51906,PxGrPwR4aMs,30,A baby cries and a man speaks
32751,Dpa8VeyU72Y,230,A baby cries and a man speaks
92903,sNY_HeMbyQc,30,A baby cries and a man speaks
78483,hefXUmQEWOg,23,A baby cries and a man speaks
101808,zG8f2g8itCg,0,A baby cries and a man speaks
89951,q6uctSkIDD8,14,A baby cries and a man speaks then a woman laughs
76943,gYpdEejlVwA,30,A baby cries and a person laughs
91708,rTsGeNI9SXg,30,A baby cries and a person shushes them
19129,709SwCIcLF4,2,A baby cries and a person speaks
95725,uY8WQqoa2lM,0,A baby cries and a phone rings followed by a woman talking and a baby babbling
12746,49fBTwgIees,10,A baby cries and a rattle shakes
40538,I_x0Ln_e5PU,30,A baby cries and a small dog barks and howls
19542,7Br8brB43CE,80,A baby cries and a surface is tapped
69998,bUjK9Rblfpk,30,A baby cries and a woman laughs and speeches
44138,KuYnSQdcsss,30,A baby cries and a woman speaks
68063,a6x-RPqK3Lk,20,A baby cries and a woman speaks
77486,gwCWdiQrQC8,30,A baby cries and a woman speaks
18296,6c4dZrZS4BE,40,A baby cries and a woman speaks
54661,Rr5DirSPWOI,40,A baby cries and a woman speaks
88113,okibj-fY2As,5,A baby cries and a woman speaks
54525,Rlf8HFu3Y20,27,A baby cries and a woman speaks
62734,XQEFD8QlS2g,30,A baby cries and a woman speaks
102148,zYTaDJ4xy3U,30,A baby cries and a woman speaks
49667,OW-iRCDVysg,30,A baby cries and a woman speaks
11282,3YM1SLv7ZyE,0,A baby cries and a woman speaks
46530,MUPn4gr56HY,30,A baby cries and a woman speaks
59563,VDA0CawDA2I,30,A baby cries and a woman speaks
101145,yk-sTqQLSKQ,0,A baby cries and a woman speaks
91593,rOXJ9YHpYns,20,A baby cries and a woman speaks
31119,Cyi2fuiswx8,27,A baby cries and a woman speaks
