Caption,Structured_Caption,Audio_mp3,Audio_wav,Image_1,Image_2,Image_3,Video
Engine revving up and blowing up,<engine revving up& start>@<engine blowing up& end>,Engine_revving_up_and_blowing_up.mp3,Engine_revving_up_and_blowing_up.wav,Engine_revving_up_and_blowing_up_image_1.jpg,Engine_revving_up_and_blowing_up_image_5.jpg,Engine_revving_up_and_blowing_up_image_9.jpg,Engine_revving_up_and_blowing_up.mp4
Male speaking and laughter responses from an audience,<male speaking& all>@<audience laughter& all>,Male_speaking_and_laughter_responses_from_an_audience.mp3,Male_speaking_and_laughter_responses_from_an_audience.wav,Male_speaking_and_laughter_responses_from_an_audience_image_1.jpg,Male_speaking_and_laughter_responses_from_an_audience_image_5.jpg,Male_speaking_and_laughter_responses_from_an_audience_image_9.jpg,Male_speaking_and_laughter_responses_from_an_audience.mp4
Clicking and vibrations with mechanical humming,<clicking and vibrations& all>@<mechanical humming& all>,Clicking_and_vibrations_with_mechanical_humming.mp3,Clicking_and_vibrations_with_mechanical_humming.wav,Clicking_and_vibrations_with_mechanical_humming_image_1.jpg,Clicking_and_vibrations_with_mechanical_humming_image_5.jpg,Clicking_and_vibrations_with_mechanical_humming_image_9.jpg,Clicking_and_vibrations_with_mechanical_humming.mp4
Water splashing and buzzing noises with a person talking,<water splashing& all>@<buzzing noises& all>@<person talking& all>,Water_splashing_and_buzzing_noises_with_a_person_talking.mp3,Water_splashing_and_buzzing_noises_with_a_person_talking.wav,Water_splashing_and_buzzing_noises_with_a_person_talking_image_1.jpg,Water_splashing_and_buzzing_noises_with_a_person_talking_image_5.jpg,Water_splashing_and_buzzing_noises_with_a_person_talking_image_9.jpg,Water_splashing_and_buzzing_noises_with_a_person_talking.mp4
A crowd applauding and cheering,<crowd applauding and cheering& all>,A_crowd_applauding_and_cheering.mp3,A_crowd_applauding_and_cheering.wav,A_crowd_applauding_and_cheering_image_1.jpg,A_crowd_applauding_and_cheering_image_5.jpg,A_crowd_applauding_and_cheering_image_9.jpg,A_crowd_applauding_and_cheering.mp4
People talking while an engine is revved,<people talking& all>@<engine revved& mid>,People_talking_while_an_engine_is_revved.mp3,People_talking_while_an_engine_is_revved.wav,People_talking_while_an_engine_is_revved_image_1.jpg,People_talking_while_an_engine_is_revved_image_5.jpg,People_talking_while_an_engine_is_revved_image_9.jpg,People_talking_while_an_engine_is_revved.mp4
A muffled bus engine running as a group of people talk in the background,<muffled bus engine running& all>@<group of people talk& all>,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.mp3,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.wav,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background_image_1.jpg,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background_image_5.jpg,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background_image_9.jpg,A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.mp4
A man is talking and spraying something,<man talking& all>@<spraying sound& all>,A_man_is_talking_and_spraying_something.mp3,A_man_is_talking_and_spraying_something.wav,A_man_is_talking_and_spraying_something_image_1.jpg,A_man_is_talking_and_spraying_something_image_5.jpg,A_man_is_talking_and_spraying_something_image_9.jpg,A_man_is_talking_and_spraying_something.mp4
Multiple claps occur then a man speaks,<multiple claps& start>@<man speaks& mid>,Multiple_claps_occur_then_a_man_speaks.mp3,Multiple_claps_occur_then_a_man_speaks.wav,Multiple_claps_occur_then_a_man_speaks_image_1.jpg,Multiple_claps_occur_then_a_man_speaks_image_5.jpg,Multiple_claps_occur_then_a_man_speaks_image_9.jpg,Multiple_claps_occur_then_a_man_speaks.mp4
A man giving a speech to a laughing crowd,<man giving a speech& all>@<crowd laughing& all>,A_man_giving_a_speech_to_a_laughing_crowd.mp3,A_man_giving_a_speech_to_a_laughing_crowd.wav,A_man_giving_a_speech_to_a_laughing_crowd_image_1.jpg,A_man_giving_a_speech_to_a_laughing_crowd_image_5.jpg,A_man_giving_a_speech_to_a_laughing_crowd_image_9.jpg,A_man_giving_a_speech_to_a_laughing_crowd.mp4
