name	dataset	ori_cap	audio_path	duration	mel_path
Engine_revving_up_and_blowing_up.wav	audiocaps	Engine revving up and blowing up	data/audio_wav_train/Engine_revving_up_and_blowing_up.wav	10.0	data/audio_wav_train_mel/Engine_revving_up_and_blowing_up_mel.npy
Male_speaking_and_laughter_responses_from_an_audience.wav	audiocaps	Male speaking and laughter responses from an audience	data/audio_wav_train/Male_speaking_and_laughter_responses_from_an_audience.wav	10.0	data/audio_wav_train_mel/Male_speaking_and_laughter_responses_from_an_audience_mel.npy
Clicking_and_vibrations_with_mechanical_humming.wav	audiocaps	Clicking and vibrations with mechanical humming	data/audio_wav_train/Clicking_and_vibrations_with_mechanical_humming.wav	10.0	data/audio_wav_train_mel/Clicking_and_vibrations_with_mechanical_humming_mel.npy
Water_splashing_and_buzzing_noises_with_a_person_talking.wav	audiocaps	Water splashing and buzzing noises with a person talking	data/audio_wav_train/Water_splashing_and_buzzing_noises_with_a_person_talking.wav	10.0	data/audio_wav_train_mel/Water_splashing_and_buzzing_noises_with_a_person_talking_mel.npy
A_crowd_applauding_and_cheering.wav	audiocaps	A crowd applauding and cheering	data/audio_wav_train/A_crowd_applauding_and_cheering.wav	10.0	data/audio_wav_train_mel/A_crowd_applauding_and_cheering_mel.npy
People_talking_while_an_engine_is_revved.wav	audiocaps	People talking while an engine is revved	data/audio_wav_train/People_talking_while_an_engine_is_revved.wav	10.0	data/audio_wav_train_mel/People_talking_while_an_engine_is_revved_mel.npy
A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.wav	audiocaps	A muffled bus engine running as a group of people talk in the background	data/audio_wav_train/A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background.wav	10.0	data/audio_wav_train_mel/A_muffled_bus_engine_running_as_a_group_of_people_talk_in_the_background_mel.npy
A_man_is_talking_and_spraying_something.wav	audiocaps	A man is talking and spraying something	data/audio_wav_train/A_man_is_talking_and_spraying_something.wav	10.0	data/audio_wav_train_mel/A_man_is_talking_and_spraying_something_mel.npy
Multiple_claps_occur_then_a_man_speaks.wav	audiocaps	Multiple claps occur then a man speaks	data/audio_wav_train/Multiple_claps_occur_then_a_man_speaks.wav	10.0	data/audio_wav_train_mel/Multiple_claps_occur_then_a_man_speaks_mel.npy
A_man_giving_a_speech_to_a_laughing_crowd.wav	audiocaps	A man giving a speech to a laughing crowd	data/audio_wav_train/A_man_giving_a_speech_to_a_laughing_crowd.wav	10.0	data/audio_wav_train_mel/A_man_giving_a_speech_to_a_laughing_crowd_mel.npy
A_man_talking_as_a_plates_and_glass_clank.wav	audiocaps	A man talking as a plates and glass clank	data/audio_wav_train/A_man_talking_as_a_plates_and_glass_clank.wav	10.0	data/audio_wav_train_mel/A_man_talking_as_a_plates_and_glass_clank_mel.npy
Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak.wav	audiocaps	Traffic hums in the distance a loud vibration followed by an explosion, two boys speak	data/audio_wav_train/Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak.wav	10.0	data/audio_wav_train_mel/Traffic_hums_in_the_distance_a_loud_vibration_followed_by_an_explosion,_two_boys_speak_mel.npy
Dogs_barking_and_squealing.wav	audiocaps	Dogs barking and squealing	data/audio_wav_train/Dogs_barking_and_squealing.wav	10.0	data/audio_wav_train_mel/Dogs_barking_and_squealing_mel.npy
Man_speaking_followed_by_dog_barking.wav	audiocaps	Man speaking followed by dog barking	data/audio_wav_train/Man_speaking_followed_by_dog_barking.wav	10.0	data/audio_wav_train_mel/Man_speaking_followed_by_dog_barking_mel.npy
An_engine_is_idling_outside_and_a_man_speaks.wav	audiocaps	An engine is idling outside and a man speaks	data/audio_wav_train/An_engine_is_idling_outside_and_a_man_speaks.wav	10.0	data/audio_wav_train_mel/An_engine_is_idling_outside_and_a_man_speaks_mel.npy
A_bird_chirps_in_a_hypnotic_manner.wav	audiocaps	A bird chirps in a hypnotic manner	data/audio_wav_train/A_bird_chirps_in_a_hypnotic_manner.wav	10.0	data/audio_wav_train_mel/A_bird_chirps_in_a_hypnotic_manner_mel.npy
A_person_snores.wav	audiocaps	A person snores	data/audio_wav_train/A_person_snores.wav	10.0	data/audio_wav_train_mel/A_person_snores_mel.npy
A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail.wav	audiocaps	A distant train horn, followed by the clickety-clank of the train on the rail	data/audio_wav_train/A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail.wav	10.0	data/audio_wav_train_mel/A_distant_train_horn,_followed_by_the_clickety-clank_of_the_train_on_the_rail_mel.npy
Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on.wav	audiocaps	Mechanical humming with some banging, a person speaks then a faucet is turned on	data/audio_wav_train/Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on.wav	10.0	data/audio_wav_train_mel/Mechanical_humming_with_some_banging,_a_person_speaks_then_a_faucet_is_turned_on_mel.npy
Engine_idling_noise.wav	audiocaps	Engine idling noise	data/audio_wav_train/Engine_idling_noise.wav	10.0	data/audio_wav_train_mel/Engine_idling_noise_mel.npy
Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently.wav	audiocaps	Heavy wind followed by a vehicle starting and revving intermittently	data/audio_wav_train/Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently.wav	10.0	data/audio_wav_train_mel/Heavy_wind_followed_by_a_vehicle_starting_and_revving_intermittently_mel.npy
